month,sr_type,complaint_count
7,Vehicle Parked in Bike Lane Complaint,739
7,Viaduct Light Out Complaint,234
7,Vicious Animal Complaint,3251
7,Wage Complaint,144
7,Water Lead Test Kit Request,9713
7,Water Lead Test Visit Request,766
7,Water On Street Complaint,7072
7,Water Quality Concern,377
7,Water in Basement Complaint,19765
7,Weed Removal Request,29007
7,Wire Basket Request,820
7,Yard Waste Pick-Up Request,8504
8,311 INFORMATION ONLY CALL,348938
8,Abandoned Vehicle Complaint,24896
8,Aircraft Noise Complaint,169405
8,Alley Light Out Complaint,4626
8,Alley Pothole Complaint,4377
8,Alley Sewer Inspection Request,900
8,Animal In Trap Complaint,155
8,Bee/Wasp Removal,1619
8,Bicycle Request/Complaint,431
8,Blue Recycling Cart,11761
8,Building Violation,12439
8,Buildings - Plumbing Violation,3781
8,Bungalow/Vintage Home Information Request,54
8,Business Complaints,2606
8,Cab Feedback,1699
8,Cable TV Complaint,224
8,Check for Leak,4712
8,City Vehicle Sticker Violation,1953
8,Clean Vacant Lot Request,3831
8,Clean and Green Program Request,116
8,Commercial Fire Safety Inspection Request,140
8,Consumer Fraud Complaint,731
8,Consumer Retail Business Complaint,377
8,Coyote Interaction Complaint,449
8,Dead Animal Pick-Up Request,9956
8,Dead Bird,516
8,Divvy Bike Parking Complaint,977
8,E-Scooter,67
8,E-Scooter Parking Complaint,1572
8,Finance Parking Code Enforcement Review,3407
8,Fly Dumping Complaint,8366
8,Garbage Cart Maintenance,32744
8,Graffiti Removal Request,52027
8,Home Buyer Program Info Request,170
8,Inaccurate Fuel Pump Complaint,50
8,Inaccurate Retail Scales Complaint,3
8,Inspect Public Way Request,4545
8,Lead Inspection Request,186
8,Licensed Pharmaceutical Representative Complaint,6
8,Liquor Establishment Complaint,157
8,Low Water Pressure Complaint,1302
8,Missed Garbage Pick-Up Complaint,4090
8,No Air Conditioning,292
