year,sr_type,complaint_count
2025,Tobacco - Sale to Minors Complaint,117
2025,Traffic Signal Out Complaint,28525
2025,Tree Debris Clean-Up Request,28098
2025,Tree Emergency,26514
2025,Tree Planting Request,11357
2025,Tree Removal Inspection,19198
2025,Tree Trim Request (NO LONGER BEING ACCEPTED),42858
2025,Vacant/Abandoned Building Complaint,5209
2025,Viaduct Light Out Complaint,292
2025,Vicious Animal Complaint,6055
2025,Wage Complaint,309
2025,Water Lead Test Kit Request,16360
2025,Water Lead Test Visit Request,3191
2025,Water On Street Complaint,10983
2025,Water Quality Concern,668
2025,Water in Basement Complaint,19279
2025,Weed Removal Request,8386
2025,Wire Basket Request,1355
2025,Yard Waste Pick-Up Request,16465
